,open,close,low,high,volume,money,factor,high_limit,low_limit,avg,pre_close,paused,DKX,MADKX
2025-01-15,44.26,43.88,43.66,44.28,18496457.0,810779951.28,1.0,48.72,39.86,43.834,44.29,0.0,44.01428571428572,43.961
2025-01-16,44.08,42.9,42.86,44.15,31015771.0,1344908223.77,1.0,48.27,39.49,43.362,43.88,0.0,43.410000000000004,43.76757142857143
2025-01-17,42.5,42.84,42.44,43.08,20061220.0,857835007.46,1.0,47.19,38.61,42.761,42.9,0.0,42.720000000000006,43.57657142857143
2025-01-20,43.29,44.52,43.28,45.36,55860298.0,2490393184.67,1.0,47.12,38.56,44.583,42.84,0.0,44.11142857142857,43.501714285714286
2025-01-21,44.85,45.13,44.55,45.3,35398018.0,1593272359.92,1.0,48.97,40.07,45.01,44.52,0.0,44.99142857142858,43.55342857142857
2025-01-22,45.03,44.43,44.24,45.24,21075095.0,939501099.3,1.0,49.64,40.62,44.579,45.13,0.0,44.69,43.65271428571428
2025-01-23,44.55,43.96,43.77,44.82,28608225.0,1264462646.05,1.0,48.87,39.99,44.199,44.43,0.0,44.22428571428571,43.74185714285714
2025-01-24,43.87,44.64,43.82,45.15,35046072.0,1569811205.49,1.0,48.36,39.56,44.793,43.96,0.0,44.37571428571429,43.892714285714284
2025-01-27,44.8,44.65,44.58,45.18,19306771.0,864900092.53,1.0,49.1,40.18,44.798,44.64,0.0,44.75857142857142,44.09685714285714
2025-02-05,44.67,44.01,43.87,44.8,27440678.0,1209865781.14,1.0,49.12,40.19,44.09,44.65,0.0,44.291428571428575,44.15871428571428
2025-02-06,44.13,44.36,43.67,44.55,25217720.0,1113529253.01,1.0,48.41,39.61,44.157,44.01,0.0,44.222857142857144,44.179571428571435
2025-02-07,44.36,45.29,44.0,46.33,50542235.0,2283393394.93,1.0,48.8,39.92,45.178,44.36,0.0,44.98857142857143,44.337428571428575
2025-02-10,45.5,44.88,44.67,45.5,37889246.0,1702769262.7,1.0,49.82,40.76,44.941,45.29,0.0,45.11571428571428,44.577
2025-02-11,45.0,44.19,44.05,45.1,31067830.0,1376208094.07,1.0,49.37,40.39,44.297,44.88,0.0,44.53142857142858,44.619
2025-02-12,44.2,44.44,44.02,44.55,25175738.0,1113067394.45,1.0,48.61,39.77,44.212,44.19,0.0,44.32714285714285,44.552571428571426
2025-02-13,44.3,44.64,44.06,45.06,37862524.0,1692124021.54,1.0,48.88,40.0,44.691,44.44,0.0,44.52,44.53557142857143
2025-02-14,44.62,45.5,44.56,45.77,52217434.0,2363013539.28,1.0,49.1,40.18,45.253,44.64,0.0,45.152857142857144,44.62842857142857
2025-02-17,45.8,45.26,44.95,46.31,55765326.0,2543137861.2,1.0,50.05,40.95,45.604,45.5,0.0,45.519999999999996,44.74285714285715
2025-02-18,45.31,44.82,44.66,45.77,35021947.0,1582024378.86,1.0,49.79,40.73,45.172,45.26,0.0,45.07285714285714,44.77428571428571
2025-02-19,44.74,44.71,44.2,45.18,36761103.0,1642055731.15,1.0,49.3,40.34,44.668,44.82,0.0,44.712857142857146,44.816428571428574
2025-02-20,44.75,46.5,44.75,46.98,85405751.0,3962875923.52,1.0,49.18,40.24,46.401,44.71,0.0,45.81857142857143,44.976
2025-02-21,46.7,48.28,46.53,48.48,97511816.0,4658378219.41,1.0,51.15,41.85,47.772,46.5,0.0,47.607142857142854,45.237857142857145
2025-02-24,48.4,48.09,47.6,48.65,53308063.0,2562457640.47,1.0,53.11,43.45,48.069,48.28,0.0,48.18857142857143,45.54514285714286
2025-02-25,47.64,47.37,47.17,48.25,35433199.0,1689640415.06,1.0,52.9,43.28,47.685,48.09,0.0,47.544285714285714,45.846428571428575
2025-02-26,47.6,47.55,46.95,47.74,32811280.0,1551997434.97,1.0,52.11,42.63,47.301,47.37,0.0,47.505714285714284,46.16428571428571
2025-02-27,47.4,47.91,47.19,48.36,36908148.0,1768169580.83,1.0,52.31,42.8,47.907,47.55,0.0,47.72571428571428,46.48485714285714
2025-02-28,47.71,45.96,45.81,48.1,49161519.0,2294571489.32,1.0,52.7,43.12,46.674,47.91,0.0,46.744285714285716,46.644
2025-03-03,45.95,45.92,45.77,46.81,31894554.0,1476382970.87,1.0,50.56,41.36,46.29,45.96,0.0,46.034285714285716,46.69542857142857
2025-03-04,45.81,45.86,45.38,46.09,24333671.0,1113598158.63,1.0,50.51,41.33,45.764,45.92,0.0,45.809999999999995,46.76914285714286
2025-03-05,45.86,45.98,45.46,46.12,25266965.0,1157331477.15,1.0,50.45,41.27,45.804,45.86,0.0,45.89142857142856,46.887
2025-03-06,46.3,46.52,46.05,46.86,33138915.0,1539946175.54,1.0,50.58,41.38,46.469,45.98,0.0,46.43857142857143,46.949
2025-03-07,46.4,45.68,45.52,46.4,33661440.0,1544840661.78,1.0,51.17,41.87,45.893,46.52,0.0,45.96571428571428,46.78485714285714
2025-03-10,45.82,45.49,45.0,46.16,34360556.0,1561460746.5,1.0,50.25,41.11,45.443,45.68,0.0,45.61,46.526999999999994
2025-03-11,45.05,45.34,44.95,45.49,29153512.0,1317152157.79,1.0,50.04,40.94,45.18,45.49,0.0,45.222857142857144,46.29485714285714
2025-03-12,45.38,45.0,44.95,45.79,33955147.0,1533371102.77,1.0,49.87,40.81,45.159,45.34,0.0,45.214285714285715,46.065714285714286
2025-03-13,45.05,45.03,44.77,45.28,24334895.0,1095003466.93,1.0,49.5,40.5,44.997,45.0,0.0,45.034285714285716,45.796571428571426
2025-03-14,45.12,46.54,44.88,46.87,57320676.0,2648874640.54,1.0,49.53,40.53,46.212,45.03,0.0,45.94428571428572,45.71657142857143
2025-03-17,47.32,46.48,46.38,47.35,27743095.0,1295638303.48,1.0,51.19,41.89,46.701,46.54,0.0,46.83,45.796142857142854
2025-03-18,46.88,46.5,46.42,47.48,30830946.0,1443933601.28,1.0,51.13,41.83,46.834,46.48,0.0,46.737142857142864,45.88885714285714
2025-03-19,46.52,47.29,46.3,48.12,48516179.0,2295409174.54,1.0,51.15,41.85,47.312,46.5,0.0,47.047142857142866,46.00442857142857
2025-03-20,47.2,46.63,46.48,47.47,32518757.0,1521454257.04,1.0,52.02,42.56,46.787,47.29,0.0,46.89142857142857,46.04971428571429
2025-03-21,46.4,44.85,44.83,46.63,54153818.0,2458827778.08,1.0,51.29,41.97,45.405,46.63,0.0,45.544285714285714,46.00757142857143
2025-03-24,44.86,44.35,44.2,45.04,32707594.0,1454999354.39,1.0,49.34,40.37,44.485,44.85,0.0,44.57285714285714,45.90385714285715
2025-03-25,44.47,44.87,44.23,45.02,22910500.0,1026660591.91,1.0,48.79,39.92,44.812,44.35,0.0,44.68571428571429,45.85014285714286
2025-03-26,46.2,46.23,46.07,46.94,61103593.0,2832596084.14,1.0,49.36,40.38,46.357,44.87,0.0,46.3,45.958714285714294
2025-03-27,46.08,48.39,45.6,48.42,86863207.0,4127696681.49,1.0,50.85,41.61,47.52,46.23,0.0,47.33571428571429,46.188857142857145
2025-03-28,48.39,48.61,48.39,49.53,77299809.0,3782798004.31,1.0,53.23,43.55,48.937,48.39,0.0,48.64714285714285,46.45914285714285
2025-03-31,48.98,49.2,48.85,50.08,78316591.0,3863528326.03,1.0,53.47,43.75,49.332,48.61,0.0,49.212857142857146,46.697428571428574
2025-04-01,49.2,51.8,48.91,52.5,135906280.0,6963773597.38,1.0,54.12,44.28,51.24,49.2,0.0,50.7442857142857,47.098142857142854
2025-04-02,51.32,50.85,50.66,51.76,63187882.0,3230471821.19,1.0,56.98,46.62,51.125,51.8,0.0,51.08714285714286,47.50214285714286
2025-04-03,50.41,51.04,50.41,51.6,51785846.0,2643033087.33,1.0,55.94,45.77,51.038,50.85,0.0,50.85000000000001,47.897999999999996
2025-04-07,48.8,48.7,46.76,49.85,115503305.0,5580749461.86,1.0,56.14,45.94,48.317,51.04,0.0,48.61571428571428,48.20514285714286
2025-04-08,48.8,48.7,47.26,49.29,98764578.0,4739094855.94,1.0,53.57,43.83,47.984,48.7,0.0,48.607142857142854,48.60857142857143
2025-04-09,47.73,48.22,45.86,48.22,97519951.0,4574095268.46,1.0,53.57,43.83,46.904,48.7,0.0,47.74285714285715,48.91428571428571
2025-04-10,48.97,48.5,47.86,49.09,73171260.0,3541702205.29,1.0,53.04,43.4,48.403,48.22,0.0,48.62714285714286,49.147000000000006
2025-04-11,48.16,48.38,47.8,48.68,42579799.0,2053266780.64,1.0,53.35,43.65,48.222,48.5,0.0,48.277142857142856,49.24114285714286
2025-04-14,48.38,48.87,48.1,50.0,57183442.0,2811326096.96,1.0,53.22,43.54,49.163,48.38,0.0,48.78142857142858,49.25457142857143
2025-04-15,48.6,48.27,47.92,48.93,32628885.0,1571241599.38,1.0,53.76,43.98,48.155,48.87,0.0,48.40857142857143,49.174142857142854
2025-04-16,48.4,48.9,47.36,48.9,45534414.0,2184411134.08,1.0,53.1,43.44,47.973,48.27,0.0,48.537142857142854,48.953428571428574
2025-04-17,48.54,48.78,48.32,48.87,30390040.0,1477059115.16,1.0,53.79,44.01,48.603,48.9,0.0,48.65857142857143,48.71057142857143
2025-04-18,48.58,48.0,47.86,48.92,25330179.0,1217785120.63,1.0,53.66,43.9,48.076,48.78,0.0,48.277142857142856,48.45328571428571
2025-04-21,47.7,49.17,47.63,49.4,37068001.0,1811287012.42,1.0,52.8,43.2,48.864,48.0,0.0,48.56285714285714,48.44799999999999
